Title,IMDb ID
 Naked Gun 33 1/3: The Final Insult,tt0110622
" Dude, Where's My Car?",tt0242423
 Following,tt0154506
 Rope,tt0040746
 Phone Booth,tt0183649
 The Naked Gun: From the Files of Police Squad!,tt0095705
 The Naked Gun 2½: The Smell of Fear,tt0102510
 Fantastic Mr,tt0432283
 Don't Breathe,tt4160708
 Rashômon,tt0042876
 Date Night,tt1279935
 You Were Never Really Here,tt5742374
 Rambo: Last Blood,tt1206885
 Despicable Me 3,tt3469046
 Taken,tt0936501
 The Guilty,tt9421570
 Rush Hour 2,tt0266915
 Ace Ventura: When Nature Calls,tt0112281
 Stuart Little,tt0164912
 Lilo & Stitch,tt0275847
 The Curse of the Were-Rabbit,tt0312004
 Doctor Dolittle,tt0118998
 Liar Liar,tt0119528
 Greyhound,tt6048922
 The 13th Warrior,tt0120657
 The Zone of Interest,tt7160372
 Pompeii,tt1921064
 Deepwater Horizon,tt1860357
 The Death of Stalin,tt4686844
 Lo imposible,tt1649419
 Capote,tt0379725
 The Post,tt6294822
 The Favourite,tt5083738
 Valkyrie,tt0985699
 In the Heart of the Sea,tt1390411
 [Rec],tt1038988
 The Blair Witch Project,tt0185937
 Lights Out,tt4786282
 The Final Destination,tt1144884
 Hush,tt5022702
 The Texas Chain Saw Massacre,tt0072271
 Wrong Turn,tt0295700
 Pi,tt0138704
 The Evil Dead,tt0083907
 The Purge,tt2184339
 The Babysitter,tt4225622
 The Autopsy of Jane Doe,tt3289956
 The Strangers,tt0482606
 The Shallows,tt4052882
 Paranormal Activity,tt1179904
 Videodrome,tt0086541
 Wayne's World,tt0105793
 The Wedding Singer,tt0120888
 Coyote Ugly,tt0200550
 Sister Act,tt0105417
 Step Up,tt0462590
 The Road to El Dorado,tt0138749
 The Man from Earth,tt0756683
 Scooby-Doo,tt0267913
 Coherence,tt2866360
 Dead Silence,tt0455760
 Palm Springs,tt9484998
 Identity,tt0309698
 Run,tt8633478
 Brightburn,tt7752126
 Bride Wars,tt0901476
 Flipped,tt0817177
 Don Jon,tt2229499
 Serendipity,tt0240890
 Space Jam,tt0117705
 The Waterboy,tt0120484
 Bring It On,tt0204946
 Caddyshack,tt0080487
 Cars 3,tt3606752
 She's the Man,tt0454945
 Talladega Nights: The Ballad of Ricky Bobby,tt0415306
 Primer,tt0390384
 Idiocracy,tt0387808
 Persona,tt0060827
 Red Eye,tt0421239
 The Boy in the Striped Pajamas,tt0914798
 Brothers,tt0765010
 Malèna,tt0213847
 Dear John,tt0989757
 Overlord,tt4530422
 War Dogs,tt2005151
 The Dark Tower,tt1648190
 Gladiator II,tt9218128
