Movie Year,Movie Runtime,Domestic Gross,IMDB Rating,RT Rating,Metacritic Rating,IMDB Vote Count,Release Month,Season,is_holiday_release,director_popularity,is_english,actor_popularity,writer_popularity,Language_Count,Country_Count,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
2022,118,343256830,6.2,63,57,423610,7,Summer,0,3,1,25,17,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,137,173956935,6.5,67,60,245121,8,Summer,0,5,1,29,17,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2006,149,217536138,6.6,25,46,468386,5,Spring,0,15,1,32,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2014,97,241410378,6.9,54,56,409164,5,Spring,0,1,1,13,9,1,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,123,337135885,6.6,70,64,518410,11,Fall,1,8,1,19,11,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,136,262782352,6.9,71,66,723614,7,Summer,0,3,1,19,13,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,169,203227580,8.7,73,74,2259078,11,Fall,1,12,1,27,10,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,93,238736787,6.3,58,58,232151,5,Spring,0,5,1,29,9,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,123,325100054,5.9,26,40,737082,8,Summer,0,3,1,31,4,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,93,216391482,6.8,78,60,204585,6,Summer,0,12,1,22,5,2,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,132,233921534,7.9,90,75,764434,5,Spring,0,9,1,27,14,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,143,291710957,6.9,75,75,439862,12,Winter,1,4,1,5,8,3,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,104,268492764,7.2,80,65,404200,6,Summer,0,2,1,17,6,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,138,281576461,7.2,74,62,644194,5,Spring,0,12,1,25,13,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
